dewpoint_1000_hpa,dewpoint_850_hpa,k_index,showalter_index,dewpoint_500_hpa,lifted_index,convective_available_potential_energy,cross_totals_index,dewpoint_700_hpa,rain
20.2,13.0,32.4,2.32,-9.0,0.24,60.61,18.1,4.1,0
20.2,13.0,32.4,2.32,-9.0,0.24,60.61,18.1,4.1,0
20.4,13.4,31.7,1.85,-7.4,0.37,27.57,18.5,4.0,0
20.4,13.4,31.7,1.85,-7.4,0.37,27.57,18.5,4.0,0
19.4,5.0,25.9,6.82,10.9,1.35,0.0,10.9,4.0,0
19.4,5.0,25.9,6.82,10.9,1.35,0.0,10.9,4.0,0
18.6,12.0,31.3,2.52,18.3,0.18,83.83,17.3,4.0,0
18.6,12.0,31.3,2.52,18.3,0.18,83.83,17.3,4.0,0
20.4,10.0,28.1,4.42,32.1,0.32,108.66,15.1,3.2,0
20.4,10.0,28.1,4.42,32.1,0.32,108.66,15.1,3.2,0
20.2,10.0,23.9,4.62,42.9,1.35,59.59,14.9,-1.0,0
20.2,10.0,23.9,4.62,42.9,1.35,59.59,14.9,-1.0,0
19.2,-2.8,10.5,12.92,43.1,2.81,13.24,1.3,-3.6,0
19.2,-2.8,10.5,12.92,43.1,2.81,13.24,1.3,-3.6,0
14.0,-1.8,12.5,11.44,11.1,6.88,0.0,3.3,-4.4,0
14.0,-1.8,12.5,11.44,11.1,6.88,0.0,3.3,-4.4,0
17.2,12.6,-1.1,2.29,-7.9,2.23,0.0,18.3,24.6,0
17.2,12.6,-1.1,2.29,-7.9,2.23,0.0,18.3,24.6,0
20.4,13.2,23.3,1.24,10.8,-0.42,178.09,19.1,-3.0,0
20.4,13.2,23.3,1.24,10.8,-0.42,178.09,19.1,-3.0,0
18.0,10.2,22.7,2.95,26.3,1.63,0.0,16.5,-2.0,0
18.0,10.2,22.7,2.95,26.3,1.63,0.0,16.5,-2.0,0
18.4,12.8,28.9,2.41,-7.9,1.84,0.0,18.1,2.4,0
18.4,12.8,28.9,2.41,-7.9,1.84,0.0,18.1,2.4,0
18.8,12.8,27.9,2.9,15.3,2.52,0.0,17.1,1.0,0
18.8,12.8,27.9,2.9,15.3,2.52,0.0,17.1,1.0,0
19.8,8.6,24.5,6.03,18.3,2.82,16.74,12.9,1.4,0
19.8,8.6,24.5,6.03,18.3,2.82,16.74,12.9,1.4,0
21.0,13.4,33.1,1.06,16.3,-0.77,251.75,18.7,4.6,0
21.0,13.4,33.1,1.06,16.3,-0.77,251.75,18.7,4.6,0
18.4,10.2,28.1,1.55,19.7,-0.14,55.31,17.9,1.8,0
21.3,11.6,29.3,3.27,20.1,-0.91,299.16,16.7,3.4,0
21.3,11.6,29.3,3.27,20.1,-0.91,299.16,16.7,3.4,0
19.8,7.8,16.3,5.68,23.7,0.08,11.88,13.5,-6.6,0
19.8,7.8,16.3,5.68,23.7,0.08,11.88,13.5,-6.6,0
17.0,8.8,19.7,6.5,23.1,4.09,0.0,12.9,-2.2,0
17.0,8.8,19.7,6.5,23.1,4.09,0.0,12.9,-2.2,0
18.8,8.4,21.5,3.89,10.4,-0.6,15.21,15.1,-1.8,0
18.8,8.4,21.5,3.89,10.4,-0.6,15.21,15.1,-1.8,0
21.2,9.6,23.5,3.77,18.3,-0.08,1.14,15.9,-1.2,0
21.2,9.6,23.5,3.77,18.3,-0.08,1.14,15.9,-1.2,0
18.8,9.6,25.7,4.57,20.5,2.66,0.0,15.1,1.6,0
18.8,9.6,25.7,4.57,20.5,2.66,0.0,15.1,1.6,0
20.0,11.0,22.1,3.11,11.0,-0.15,10.9,17.1,-3.2,0
20.0,11.0,22.1,3.11,11.0,-0.15,10.9,17.1,-3.2,0
19.0,9.6,23.9,4.91,13.7,-0.02,0.0,15.3,1.4,0
19.0,9.6,23.9,4.91,13.7,-0.02,0.0,15.3,1.4,0
18.4,9.8,22.9,3.5,28.3,0.5,0.0,16.1,-1.6,0
18.4,9.8,22.9,3.5,28.3,0.5,0.0,16.1,-1.6,0
18.0,7.6,19.5,7.48,35.3,0.88,2.06,12.9,-1.2,0
18.0,7.6,19.5,7.48,35.3,0.88,2.06,12.9,-1.2,0
19.8,3.8,14.9,9.5,11.3,2.15,0.0,9.1,-2.6,0
19.8,3.8,14.9,9.5,11.3,2.15,0.0,9.1,-2.6,0
17.4,10.8,20.3,4.78,-9.7,3.81,0.0,15.5,-3.4,0
17.4,10.8,20.3,4.78,-9.7,3.81,0.0,15.5,-3.4,0
19.0,11.6,15.3,3.79,-8.6,2.02,0.0,16.7,-9.0,1
19.0,11.6,15.3,3.79,-8.6,2.02,0.0,16.7,-9.0,0
21.5,13.0,28.3,1.62,-7.1,-0.62,148.44,18.3,0.0,0
21.5,13.0,28.3,1.62,-7.1,-0.62,148.44,18.3,0.0,0
21.4,12.8,29.5,2.3,-9.9,-0.85,380.77,17.7,2.2,1
21.4,12.8,29.5,2.3,-9.9,-0.85,380.77,17.7,2.2,0
19.8,10.8,28.7,3.86,-8.6,-1.16,603.52,15.9,3.2,1
19.8,10.8,28.7,3.86,-8.6,-1.16,603.52,15.9,3.2,0
19.0,12.6,33.1,1.89,12.1,1.14,0.0,17.7,5.0,1
19.0,12.6,33.1,1.89,12.1,1.14,0.0,17.7,5.0,0
20.2,10.0,20.7,3.82,13.7,-1.41,87.13,15.7,-3.6,0
19.8,13.8,34.7,1.98,10.3,0.48,76.7,18.1,6.8,1
19.8,13.8,34.7,1.98,10.3,0.48,76.7,18.1,6.8,0
19.4,12.8,32.3,1.5,12.7,-0.36,17.25,18.5,4.4,1
19.4,12.8,32.3,1.5,12.7,-0.36,17.25,18.5,4.4,1
20.4,12.8,22.3,3.01,21.7,-0.95,376.55,17.5,-2.4,1
20.4,12.8,22.3,3.01,21.7,-0.95,376.55,17.5,-2.4,0
20.2,12.4,26.1,3.46,15.3,1.42,0.0,16.7,2.0,0
20.2,12.4,26.1,3.46,15.3,1.42,0.0,16.7,2.0,0
21.2,15.3,36.0,-0.38,-5.9,-2.01,219.73,21.2,7.8,1
21.2,15.3,36.0,-0.38,-5.9,-2.01,219.73,21.2,7.8,0
